Course	Title		Min Credits	Description	CourseType1	CourseType2
EXL*529	Internship: Experiential Learning	1	4	Academic study completed in support of an, internship experience with a partner institution., An Allegheny faculty member assigns and evaluates, the academic work done by the student. Credit:, One to four semester hours. Prerequisite:, permission of instructor.		
EXL*590	Service-Learning Challenge	2	0	A two-credit independent study focusing on, service-learning.  Through reading, reflection,, and dialogue, students develop both knowledge, and skills in their roles as "service leaders", assisting faculty in implementing service-learning, components in courses of instruction.  The, Service-Learning Challenge, a student-led program, begun in 2000, brings students and faculty, together to work toward integrating service-, learning into courses throughout the various, disciplines.  Service-learning combines community, service and academic learning with equal emphasis,, while meeting a real community need.		
EXL*591	Independent Study	1	4			
EXL*594	Experiential Learning Travel Seminars	2	4	A short-term intensive course usually offered, between semesters or after spring semester., Travel, Seminars typically include travel in the U.S. or, abroad, and incorporate direct observation of or, involvement in activities that complement or, illustrate the subject matter.  The seminars, integrate students' experiential learning, activit-, ies with theory and research in various fields., Students are exposed to diverse ideas, peoples,, cultures, or ways of living and thinking.  The, courses are designed and taught by Allegheny, faculty. Individual Experiential Learning, Seminars, are reviewed by the Study Away and Campus, Internationalization Committee and approved by, the Curriculum Committee. Credit: Two to four, semester hours.		
FRNCH*110	Beginning French I	4	0	A course stressing the spoken language, basic, structural patterns, reading for comprehension,, and introduction to French and Francophone, cultures.  Three class meetings; one oral practice, period a week.	IP	
FRNCH*120	Beginning French II	4	0	A course stressing the spoken language, basic, structural patterns, reading for comprehension,, and introduction to French and Francophone, cultures.  Three class meetings; one oral practice, period a week. Prerequisite: French 110 or, appropriate score on placement test., , 	IP	ME
FRNCH*215	Intermediate French	4	0	A review of basic structural patterns to improve, reading, writing, and speaking skills in French., One additional oral practice session per week and, attendance at French Table. Prerequisite: French, 120 or appropriate score on placement test.	IP	ME
FRNCH*225	Exploring Genre: Poems, Prose, Plays	4	0	An introduction to French and Francophone, literature designed to serve as a transition from, language courses to more advanced courses.  Study, of texts from each genre presents students with a, vocabulary and method with which to analyze texts., Particular attention is given to close readings,, reading comprehension, and writing about, literature.  Prerequisite: French 215 or, permission of instructor.	IP	HE
FRNCH*300	Advanced Grammar and Composition	4	0	A grammatical and structural study of the French, language in its written form, and specifically, with regard to narrative activity. Written, assignments focus on portrait, description,, indirect and direct discourse, and narrative point, of view. This is a required course for students, who will continue with literature and culture, courses. Prerequisite: French 225 or permission of, the instructor.	IP	ME
FRNCH*301	Contemporary French Society & Culture	4	0	An introduction to contemporary French culture, and an overview of the Francophone world. Topics, relating to French institutions and cultural, identity are analyzed and discussed. These may, include political, economic, and educational, institutions and values as well as media, the, workplace, and family life. Readings, films, and, television news programs are chosen to increase, understanding of French and Francophone societies, today. Assignments include oral presentations,, papers, and written and oral exams. Recommended, for students planning to study in France. One, additional oral practice session per week and, attendance at French Table are required., Prerequisite: French 215 or permission of the, instructor.	IP	CL
FRNCH*305	Advanced Composition & Conversation	4	0	A grammatical, phonetic, and structural study of, the French language in its written and spoken, forms. Written assignments focus on portrait,, description, indirect and direct discourse, and, narrative point of view. Discussion and debate, explore a variety of subjects in conjunction with, readings of literary texts and periodicals., Attendance at French Table is required. This is a, required course for students who will continue, with literature and culture courses., Prerequisite: French 225 or permission of the, instructor.	IP	ME
FRNCH*310	From Romance to Revolution	4	0	A brief introduction to French literature of the, Middle Ages and Renaissance, followed by a, concentrated examination of French literary and, artistic masterpieces of the 17th and 18th, centuries.  Representative texts including, classical theater as well as works of the, moralistes and the philosophes are examined within, their historical context. Emphasis is placed on, the representations of royal power, social, convention, and challenges to state authority., Prerequisite: French 300 or permission of the, instructor., , 	HE	IP
FRNCH*315	Grammar and Composition	4	0	A grammatical and structural study of the French, language in both its written and spoken forms.  A, useful course for student who will be needing the, language as a tool.  Prerequisite: French 225.		
FRNCH*320	Romanticism, Realism, and Modernism	4	0	An examination of the upheavals and reversals of, the 19th and 20th centuries in France through an, analysis of literary movements such as romanticism, realism, existentialism, and the Theater of the, Absurd.  The course focuses on cultural issues, including the relationship of the individual to, society, social and political revolution, and the, role of the artist.  Prerequisite: French 225 or, permission of instructor.	HE	IP
FRNCH*330	The Empire Writes Back	4	0	An introduction to the literature written in, French from France's former colonies and its, social-historical context. Topics include: the, era, of African Independences, la nigritude, the, Algerian War for Independence, and postcolonial, immigration and writing in France. Emphasis is, placed on the subversive nature of the literature, studied and on how it inflects the French, language, the French canon, and "Frenchness", itself. Articles from the press, essays, novels,, and films are used. Prerequisite: French 305 or, permission of the instructor.	PD	HE
FRNCH*350	Comedy and Tragedy	4	0	A study of comic and tragic perspectives in, French, and/or Francophone drama, poetry, narrative, fiction, and prose. The periods studied may vary, as well as the topics discussed, which might, include: the evolution of farce, the development, of comic prose, the individual?s response to, personal or cultural dilemmas, the rise of the, French tragic theater, and the use and adaptation, of myths. Students may be required to attend, screenings of performances or adaptations of, texts, under study. Prerequisite: French 305 or, permission of the instructor.	HE	IP
FRNCH*355	From Ancien Regime to Revolution	4	0	An introduction to French literary and artistic, masterpieces of the 17th and 18th centuries., Representative texts including classical theater, as well as works of the moralistes and the, philosophes are examined within their historical, context. Emphasis is placed on the representations, of royal power, social convention, and challenges, to state authority.  Prerequisite: French 225 or, permission of instructor.		
FRNCH*360	Stories and Storytelling	4	0	An exploration of French and/or Francophone, narrative in prose and/or film. The texts,, movements, and periods studied may vary; topics, discussed may include: narrative styles and, techniques in fiction and film, the history and, evolution of these styles and techniques, the, problems and possibilities of adaptation, oral, traditions, and the importance of stories to, storytellers and audiences. Students may be, required to attend several film screenings, outside of class. Prerequisite: French 305 or, permission of the instructor.	HE	IP
FRNCH*365	Romanticism, Realism, and Modernism	4	0	An examination of the upheavals and reversals of, the 19th and 20th centuries in France through an, analysis of literary movements such as romanticism, realism, existentialism, and the Theater of the, Absurd.  The course focuses on cultural issues, including the relationship of the individual to, society, social and political revolution, and the, role of the artist.  Prerequisite: French 225 or, permission of instructor.		
FRNCH*370	Writing and Society	4	0	An examination of significant literary texts, written at important historical moments in the, evolution of French and/or Francophone societies., Emphasis is placed on the role of literature in, the development of intellectual history. Close, reading and analysis focus on ways in which, literature both reflects and influences the, history of ideas. Topics vary from year to year, and may include: l?icrivain engagi, political and, historical essay-writing, and literature and war., Prerequisite: French 305 or permission of the, instructor.	HE	IP
FRNCH*529	Internship: French	1	4	Academic study completed in support of an, internship experience with a partner institution., An Allegheny faculty member assigns and evaluates, the academic work done by the student. Credit:, One to four semester hours. Prerequisite:, permission of instructor.		
FRNCH*580	Junior/Senior Seminar	4	0	Seminar, including oral reports, discussions, and, an independent research paper. May be repeated, for credit. Prerequisite: FSMLG 201.		
FRNCH*590	Independent Study	1	4	An independent study or research experience. The, student independently pursues a topic or project, of interest with guidance from a faculty member., Students meet one-on-one with the faculty mentor, on a regular basis and also complete independent, readings, laboratory work, or comparable, activities. Credit: One to four semester credit, hours. Prerequisite: Permission of the instructor.		
FRNCH*592	Student Teaching	2	4	A field experience in education during which, students work with teachers and students in, elementary or secondary schools.  Relevant, readings, as well as discussions with the, instructor and the supervising teacher, provide, the background and context for the fieldwork. , Students are required to keep a reflective, journal and to complete a culminating project, based on their experiences in the classroom., Offered on the Credit/No Credit basis only. , Credit: Two to four semester credit hours., Prerequisite: Permission of the instructor.		
FRNCH*600	Senior Project I	2	0	Preparation of a Senior Project proposal. A thesis, statement, a short description of the project, and, a bibliography have to be developed. Taken on a, Credit/No Credit basis only. Credit:  Two semester, hours.		
FRNCH*610	Senior Project II	4	0	Completion and oral defense of the Senior Project., Prerequisite:  French 600.		
FS*101	Academic Discourse I	4	0	An introduction to critical thinking through oral, and written communication.  The topical material, covered in the seminar varies from section to, section.  All first-year students take Academic, Discourse I during the fall semester; the seminar, instructor serves as the student's first, academic advisor.  As part of the advising, process, students explore both individual, interests and possible academic paths.  Must be, taken on a letter grade basis.		
FS*102	Academic Discourse II	4	0	Continued study of oral and written communication, with an emphasis on argument.  Students consider, context, audience, style, evidence, and strategies, for persuasion.  The topical material covered in, the seminar varies from section to section.  Must, be taken on a letter grade basis.		
FS*201	Sophomore Seminar	4	0			
FS*529	Internship: F/S Program	1	4	Academic study completed in support of an, internship experience with a partner institution., An Allegheny faculty member assigns and evaluates, the academic work done by the student. Credit:, One to four semester hours. Prerequisite:, permission of instructor.		
FS*590	Independent Study	1	4			
FS*593	Peer Mentoring	1	4	Structured work to enhance learning by other, students who are enrolled in a regular course. To, receive academic credit, peer mentors are expected, to complete assignments other than those assigned, in the course and to reflect on the, peer-leadership experience. Credit: One to four, semester credit hours. Prerequisite: permission of, instructor.		
FSAEN*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the, convent-, ions of communication in the discipline and the, methods by which practitioners position their, work, within larger disciplinary contexts., Prerequisite:  FS 102. The course must be taken, on, a letter grade basis.		
FSART*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the conven-, tions of communication in the discipline and the, methods by which practitioners postiion their, work within larger disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSBIO*201	Communication in a Discipline	4	0	An investigative laboratory course that, emphasizes experimental design, modern, experimental techniques and instrumentation,, analysis and interpretation of data, and written, and oral presentation. The course consists of, three multi-week project modules designed to, illustrate investigative approaches at different, levels of biological organization -, molecular/cellular, organismal/physiology, and, population/ecosystem. There is an emphasis on, independent and cooperative laboratory/field, work, and on writing and speaking in the, sciences. One two-hour recitation/discussion and, three-hour lab period per week. Four credits., Prerequisite: Biology 220. This course is, required for Biology majors and minors.		
FSCHE*201	Research Methods in Chemistry	4	0	An introduction to writing, speaking, and, research methods in the discipline of chemistry. , Topics include experimental design, statistical, analysis of data, ethical conduct of research and, selected classical, spectroscopic and, chromatographic methods of analysis.  Analytical, techniques are discussed in the context of, laboratory projects that are designed, performed,, and interpreted by the class.  Taught in the fall, semester.  Two 75-minute lecture/laboratory, periods per week.  Prerequisite: a grade of C or, better in Chemistry 122 or Chemistry 112.		
FSCMP*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the conven-, tions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSCOM*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the conven-, tions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSDMS*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the conven-, tions of communication in the discipline and the, methods by which practitioners position their work, within a larger disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSECO*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the conven-, tions in the discipline and the methods by which, practitioners position their work within a larger, disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSENG*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the conven-, tions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSENV*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the convent-, ions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequisite:  FS 102. The course must be taken on, a letter grade basis.		
FSGEO*201	Field Geology	4	0	Applied principles and field methods in geology, and environmental geology.  Students are exposed, to critical analysis and communication in the, geosciences through field and laboratory projects, involving topographic maps, aerial photographs,, geologic maps, rock and soil properties,, subsurface drilling and geophysical data, and, computer applications.  Geologic mapping and, hazards, landfill siting, environmental pollution,, and oil exploration issues provide context for, the projects.  Field work or laboratory, one, period.  May include a multi-day field trip., Prerequisite:  Geology 108 or 110.  May count, toward a mjaor or minor in Geology.  Students who, have taken Geo 230 prior to Fall 2006 may not take, this section of FSGEO 201.		
FSGEO*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the convent-, ions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequisite: FS 102.  The course must be taken on, a letter grade basis.		
FSGER*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the convent-, ions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequisite:  FS 102. The course must be taken on, a letter grade basis.		
FSGHS*201	Communication in a Discipline	4	0	Communication in a Discipline: Topics and, Approaches in Global Health  , , , An introduction to writing and speaking in the, discipline of Global Health Studies. Students are, introduced to the research methods and modes of, communication used in the field of global health, and use case studies to investigate different, approaches to identifying, analyzing, and, responding to global health issues. We read, primary and secondary research, interpret data,, evaluate tools for communicating effectively to, different audiences, and explore various research, methods. Ethical, cultural, and interdisciplinary, dimensions of global health research and work are, emphasized throughout. Prerequisite: Global, Health Studies 130.		
FSHIS*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the convent-, ions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSMAT*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the convent-, ions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSMLG*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the, conventions of communication in the discipline, and the methods by which practitioners position, their, work within larger disciplinary contexts., Prerequiste:  FS 102.  The course must be taken, on a letter grade basis.		
FSPHI*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the convent-, ions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSPHY*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the, conventions of communication in the discipline and, the methods by which practitioners position their, work within larger disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSPOL*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the convent-, ions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSPSY*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the convent-, ions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSREL*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the convent-, tions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequisite:  FS 102.  The course must be taken, on a letter grade basis.		
FSWOM*201	Communication in a Discipline	4	0	An exploration of oral and written communication, with a focus on communication within a specific, academic field.  Students investigate the convent-, ions of communication in the discipline and the, methods by which practitioners position their work, within larger disciplinary contexts., Prerequiste:  FS 102.  The course must be taken on, a letter grade basis.		
GEO*108	Environmental Geology	4	0	Application of geological principles towards understanding earth, processes emphasizing interactions between humanity and the , physical earth.  Designed as an introduction to geology, the, course will include basis concepts of earth materials (rocks and, minerals), earth structure, and surficial environments.  Topics, will include water resources and contamination, land use , planning, natural hazards such as earthquakes, volcanoes, land-, slides and floods, energy and economic resources, and , environmental regulations and policies.  Laboratory or field, work, one period.  May not be taken after successful completion, of Geology 110.	SP	CL
GEO*110	Physical Geology	4	0	The study of Earth properties and the dynamics of geologic, systems to provide a basic understanding of the resources,, environments, and evolution of our planet. The course will, consider Earth materials, interior structure of the planet,, Earth surface processes, landform development, environmental, geology, and physical evolution of the Earth. Specific topics, will include minerals and rocks, plate tectonics, ocean, basins, continents, river and groundwater systems, glaciers,, volcanism, and earthquakes. Laboratory or field work, one, period.	SP	QR
GEO*120	Earth History and Evolution	4	0	The study of Earth history and large-scale, processes affecting our planet's evolution and, present-day dynamics.  Principles and techniques, for system analysis are applied to the, lithological, paleontological, and geochemical, records to develop an understanding of atmosphere, evolution, tectonic history, paleogeography,, long-term environmental change, and biological, evolution.  Modern natural systems, laboratory, projects involving rock suites and fossils, and, models are used to demonstrate analytical, approaches and aspects of Earth history., Laboratory one period.  Prerequisite:  Geology 108, or 110.  Students who have taken FSGEO 201 prior, to Fall 2006 may not take Geology 120.	SP	QR
GEO*240	Mineralogy	2	0	A study of the physical and chemical properties, of Earth's minerals. Our study emphasizes mineral, systems, the identification and classification of, common rock forming and economically important, minerals, and processes that influence mineral, occurrence and composition. The fundamentals of, crystallography, optical properties of minerals,, and use of the polarizing microscope are, included. Two credits, one laboratory period., Prerequisite:  GEO 108 or GEO 110.	SP	
GEO*250	Petrology	4	0	A study of the origin and composition of Earth's, crustal systems. Mineralogy, chemistry, and, textures of rocks are learned through hand sample, and microscopic analysis. Our study emphasizes, interpretation of igneous, metamorphic, and, sedimentary rock associations in relation to, tectonic settings. Laboratory, one period. May, include a multi-day field trip. Prerequisites:, GEO 108 or GEO 110, and GEO 240. GEO 120 is, strongly recommended. Offered in alternate years.	SP	QR
GEO*301	Coastal Processes/Environment	2	0	An examination of geomorphology, sedimentology, and, environmental problems of modern coastal zones with special, emphasis upon physical processes of the environment. The, crucial link between understanding modern process-response, relationships and meaningful analysis of the rock record is, demonstrated throughout the course. Field trip: Barrier island, coast of Georgia.	SP	QR
GEO*302	Foreland Tectonics/Sediment	2	0	A central theme is crustal dynamics of orogenic belts,, focusing upon the interrelationship between tectonics and, sedimentation in modern and ancient foreland settings., Evolution of the modern Taiwan orogenic belt-foreland basin, couple at the Eurasian-Philippine plate boundary is used as, insight to understanding paleodynamics of our own Appalachian, system. Field trip: Virginia/West Virginia.	SP	QR
GEO*303	Ancient Depositional Env	2	0	An examination of the dependency between ancient depositional, systems and present environmental geologic concerns using the, Appalachian Plateau (Kentucky region) as a case example., Initial focus will be upon deltaic and carbonate sedimentary, processes and their genetic link to tectonics, paleoclimate,, and paleo-sea level. The distribution of resultant sedimentary, strata is then linked to present landforms, environmental, resources (coal, oil, and gas, groundwater), geohazards,, engineering practices, and land use. Field trip: Kentucky -, ancient delta systems and karst terrain.	SP	QR
GEO*304	Modern & Ancient Geo Process/White Mntns	4	0	Modern and Ancient Geologic Processes in the White, Mountains, An exploration of the relationship between, geologic processes and the plate tectonics model, as recorded in the rock record of north-central, New Hampshire.  Students examine: (1) evidence of, sedimentation, metamorphism, deformation and, magmatism in Paleozoic and Mesozoic rocks; and, (2) how these rocks can be used to interpret the, tectonic history of the region.  Dominant geologic, processes of the more recent Cenozoic Era, (glaciation, rock/land slides, and acid rain, neutralization) are also examined and discussed., Mandatory course field trip:  White Mountains, NH., Credit: Two semester hours.	SP	QR
GEO*310	Process Geomorphology	4	0	A study of the surface of the Earth, processes that modify it,, and principles governing their operation. Included in the, course is the study of processes and landforms associated with, weathering, streams, glaciers, coasts, and groundwater., Laboratories emphasize field investigations, map and aerial, photograph interpretation, and physical and computer models., Laboratory or field trip, one period.	SP	QR
GEO*330	Climate Change: Past & Future	4	0	An examination of climate change on Earth at a, variety of scales and the implications of global, climate change (both past and future) from a, scientific perspective.  The course is divided, into two seven-week units.  The first unit focuses, on evidence in the geologic record that provides, a history of climate change on Earth over the last, 2 billion years.  The second unit focuses on the, record of changing atmospheric gas concentrations, (e.g. greenhouse gases) during the last 150 years, and examines the methods that scientists use to, predict and address future climate change.  A, day-long field trip may be involved., Prerequisites: Geo 110 or Geo 108 or ES 210.	SP	QR
GEO*331	Paleobiology	4	0	A study of temporal and spatial changes of the, Earth's fauna within the context of evolution and, geological processes. Our study focuses on, analysis and use of paleontological data in, evolution, systematics, paleoecology,, paleoclimatology, geology, and extinction., Laboratory: one period plus field trips., Prerequisites: BIO 220 and FSBIO 201, or GEO 120, and FSGEO 201.	SP	QR
GEO*400	Hydrogeology	4	0	Principles of groundwater flow and physical, properties of aquifers. The course combines both, theoretical and applied approaches to the study, of groundwater. Topics include: well construction, and installation, characterization of subsurface, hydraulic properties, groundwater flow, and, contaminant transport processes. Course may, involve a multi-day field trip. Laboratory, field, work, or recitation, one period. Prerequisite:, GEO 108 or GEO 110. MATH 160 is recommended., Offered in alternate years.	SP	QR
GEO*410	Sedimentology and Stratigraphy	4	0	Hydrodynamics, sediment transport, depositional, products, environmental systems, and stratigraphic, analysis.  Topics inclue sedimentary fabric,, primary sedimentary structures, facies analysis,, stratigraphic sequences, and mineralogy/sediment-, ary rock type related to basin type and tectonic, setting.  Laboratory sessions include: wave tank,, flume, and bedform analysis; hand-specimens of, sedimentary structures; barrier-island core, analysis; field examination of modern and ancient, deposits; and, body trace fossil analysis in, context of sandstone and carbonate settings., Laboratory, one period.  Prerequisites: Geology, 108 or 110, 120 and 250 or permission of the, instructor.	SP	QR
GEO*420	Structural Geology	4	0	A study of rock deformation and tectonics of the, Earth with an emphasis on geometric analysis and, origin of secondary structures at microscopic-,, outcrop-, and global-scales.  The concepts of, stress, strain, and material behavior are applied, throughout the course.  Topics include folding,, fault systems, deformation mechanisms, kinematic, analysis, interpretation of geologic maps and, cross-sections, graphical and computer solutions, of problems including the use of stereograms, and, case studies of structural associations in, mountain belts.  Laboratory or field trip, one, period.  May include a multi-day field trip., Prerequisites: Geology 120 or FSGeo 201, or, permission of instructor. Offered alternate years.	SP	QR
GEO*430	Geochemistry	4	0	An examination of the chemical character and, behavior of the near-surface environment., Students study analytical methods to characterize, the chemistry of precipitation, surface/ground, water, soils, and rocks. We examine the dominant, chemical reactions between gas, liquid and solid, phases on Earth and identify the products of, these reactions. Course material is examined in, the context of global geochemical cycling., Laboratory work, field work, or recitation, one, period. CHEM 110 or CHEM 120 and GEO 250 are, strongly recommended. Offered in alternate years.	SP	QR
GEO*521	Intern: Environmental Geology	1	4	The experience involves participation in, conducting hydrogeologic investigations and the, preparation of groundwater-resource reports.  The, student must contract for credit.  Prerequisite: , Declaration of minor or a major in geology and, completion of Geology 310 and 400. Credit: One to, four semester hours.		
GEO*522	Intern: Environmental Education	1	4	An internship in environmental education working, with children and/or adults at a local, educational facility.  Interns participate in, research, curriculum development, environmental, education, public relations and office, communications.  Prerequisites:  Environmental, Science 110, Geology 110 or 108, and approval of, the supervisor at the internship site.  Credit: , One to four semester hours.		
GEO*523	Intern: Conservation Biology	2	0	The intern becomes familiar with the operation of, a National Wildlife Refuge and participates in a, research project related to wildlife management, and conservation biology.  In order to be, eligible, the student must develop a project, proposal in consultation with the liaison and, refuge manager.  Projects will normally involve, field or interpretive projects that culminate in, a project report, pamphlet or brochure that is, submitted to both the liaison and refuge manager.,  Credit:  Two semester hours.		
GEO*524	Intern: Meadville Area Water Authority	1	4	An internship with the local water authority to, design and execute a project relating to water, supply issues.  Examples of potential projects, include research on water consumption patterns on, the campus or in the community; mapping of the, water distribution system using a Geographic, Information System (GIS); development of water, conservation and education materials for adults, and/or primary schoolchildren; creation of a web, site for water customers; designing and, implementing water conservation programs on the, campus or in the community; economic analysis of, water-supply operations.  Prerequsites:  Approval, from liaison.  Students who wish to work on, technical aspects of ground water as a part of, the internship must have completed Geology 400., Credit:  One to four semester hours.		
GEO*525	Intern: Env Consulting	2	0	Environmental Consulting Internship with O'Brien, and Gere, Inc., An internship in hydrogeology and environmental, remediation. Interns particiapte in the collection, and analysis of field data to understand, environmental conditions, such as ground water, flow and conteminant transport, for reports, and, presentations to clients and regulatory agencies., Safety training, typically including 40-hour OSHA, training, is part of the internship experience., Interns are expected to maintain a journal and to, submit their journal and a final report on their, experience to the liaison.  The internship is, typically taken during the summer in the, Philadelphia, PA area; compensation for living, expenses is provided.  Prerequisites: Declaration, of major or minor in geology, completion of, Geology 230, and approval from liaison. Completion, of Geology 400 is strongly recommended., Liaison:  Professor Cole.  Credit:  Two semester, hours.		
GEO*529	Internship: Geology	1	4	Academic study completed in support of an, internship experience with a partner institution., An Allegheny faculty member assigns and evaluates, the academic work done by the student. Credit:, One to four semester hours. Prerequisite:, permission of instructor.		
GEO*580	Junior Seminar	4	0	Seminar discussions on selected topics in geology in, preparation for the development of senior research topics., Students will analyze the literature, write a paper requiring, literature review and synthesis, present a seminar, and submit, a tentative research proposal for the Senior Project. Required, of all junior majors in geology. Includes a five to six-day, field trip.		
GEO*590	Independent Study	1	4	An independent study or research experience. The, student independently pursues a topic or project, of interest with guidance from a faculty member., Students meet one-on-one with the faculty mentor, on a regular basis and also complete independent, readings, laboratory work, or comparable, activities. Credit: One to four semester credit, hours. Prerequisite: Permission of the instructor.		
GEO*591	Group Study	1	4	Group work with faculty guidance. A group of, students meets together with a faculty member on a, regular basis to pursue a topic in depth. Students, typically complete a set of common readings and, assignments. Prerequisite: permission of, instructor.		
GEO*593	Peer Mentoring	1	4	Structured work to enhance learning by other, students who are enrolled in a regular course. To, receive academic credit, peer mentors are expected, to complete assignments other than those assigned, in the course and to reflect on the, peer-leadership experience. Credit: One to four, semester credit hours. Prerequisite: permission of, instructor.		
GEO*600	Senior Research Project I	2	4	The first semester of a two-semester research, project.  Students are evaulated on their, proposals and presentations at the preliminary, meeting, progress made during the semester, and, presentation at the final meeting of the semester., Credit:  Two or four semester hours., Prerequisite: Geology 580.		
GEO*610	Senior Research Project II	2	4	The final semester of a two-semester research, project.  Students are evaluated on their, continued research efforts oral defenses and, written theses.  Credit:  Two or four semester, hours.  Prerequisite: Geology 600.		
GEO*620	Senior Research Project	4	0	Students are evaluated on their proposal and, presentation at the beginning of the semester,, research effort during the semester, and oral, defense and written thesis at the end of the, semester.  The project must be completed during, the semester of enrollment.  Prerequisite:, Geology 580.		
GERMN*110	Beginning German I	4	0	A course stressing the spoken language, elements, of grammar, reading for comprehension, and, introduction to German culture. Three class, meetings; two oral practice periods per week., Distribution Requirements: IP.	IP	
GERMN*120	Beginning German II	4	0	A course stressing the spoken language, elements, of grammar, reading for comprehension, and, introduction to German culture. Three class, meetings; two oral practice periods per week., Prerequisite: GERMN 110 or appropriate score on, language placement test. Distribution, Requirements: IP, ME.	IP	ME
GERMN*210	Intermediate German I	4	0	A rigorous review of basic structural patterns, and discussion of selected texts in literature, and civilization, with an emphasis on writing and, speaking to improve communication skills in, German. Prerequisite: GERMN 120 or appropriate, score on placement test. Distribution, Requirements: IP, ME.	IP	ME
GERMN*220	Intermediate German II	4	0	Readings and discussions of selected texts in, literature and civilization to improve, communication skills and vocabulary. Selected,, advanced grammar will be reviewed. Prerequisite:, GERMN 210 or appropriate score on placement test., Distribution Requirements: IP, ME.	IP	ME
GERMN*230	Intermediate German	4	0	A rigorous review of basic structural patterns, and discussion of selected texts in literature, and civilization.  There is an emphasis on, writing and speaking to improve communication, skills in preparation for upper-level literature, and culture courses.  One oral practice session, per week.  Prerequisite: German 120, or, appropriate score on placement test.	IP	ME
GERMN*305	Advanced German in a Cultural Context	4	0	An intensive review of all four language skills, (listening, speaking, reading, writing) at the, advanced level. Special emphasis is on selected, grammar principles used in a contemporary, cultural context. The course includes a variety, of exercises with emphasis on composition., Prerequisite: GERMN 220. Distribution, Requirements: HE, IP.	HE	IP
GERMN*310	Advanced German in Literary Context	4	0	A rigorous review of all four language skills on, an advanced level and in a literary context., Based on individual needs, the course addresses, selected grammatical and stylistic problems and, concentrates on the writing of expository prose, as well as on the discussion of literary texts., Distribution Requirements: HE, IP.	HE	IP
